,countries,inflation,GDP,trade,income,gini,populationgrowth,developedcountry
1,Afghanistan,0.0224,0.0055,0.438,1760,36.8,0.0231,0
2,Albania,0.0038,0.0265,0.564,12700,29,-0.0043,0
3,Algeria,-0.0065,-0.0113,0.465,14000,27.6,0.0193,0
4,Andorra,0.0151,0.0167,0.6,53200,40,0.0018,0
5,Angola,NA,-0.0403,0.518,5540,42.6,0.0324,0
6,Antigua and Barbuda,0.0251,0.0375,0.376,24500,40,0.0086,0
7,Argentina,NA,-0.0313,0.254,17500,42.4,0.0099,0
8,Armenia,0.0146,0.0738,0.596,9730,32.6,0.002,0
9,Australia,0.033,0.0036,0.354,45500,32.3,0.0152,1
10,Austria,0.0172,0.0119,0.816,46900,30.5,0.0041,1
11,Azerbaijan,-0.0023,0.0137,0.666,16200,32.4,0.0084,0
12,Bahamas,0.0141,0.008,0.297,28800,43.7,0.0099,0
13,Bahrain,0.0062,-0.0263,0.788,42000,40,NA,0
14,Bangladesh,0.0446,0.0703,0.324,4140,32.4,0.0104,0
15,Barbados,0.0251,-0.0023,0.394,16600,43.8,0.0013,0
16,Belarus,0.0657,0.014,1.15,18000,27,-0.0018,0
17,Belgium,0.0152,0.009,NA,43500,27.7,0.005,1
18,Belize,0.0018,-0.016,0.766,7820,53.3,0.0188,0
19,Benin,-0.0032,0.04,0.418,2230,47.8,0.0272,0
20,Bolivia,-0.0069,0.008,0.453,7150,44.6,0.014,0
21,Bosnia and Herzegovina,0.0209,0.033,0.885,13100,32.7,-0.0069,0
22,Botswana,0.0064,0.0075,0.632,16800,NA,0.0218,0
23,Brazil,0.0415,0.0038,0.221,14300,51.3,0.0075,0
24,Brunei,-0.0334,0.0283,0.806,NA,40,0.01,0
25,Bulgaria,0.0465,0.041,1.04,20200,37.4,-0.007,0
26,Burkina Faso,-0.0299,0.0272,0.514,1810,35.3,0.0284,0
27,Burundi,0.0082,-0.0129,0.354,644,38.6,0.0313,0
28,Cambodia,0.0324,0.0552,1.34,4080,42,0.0145,0
29,Cameroon,0.0158,0.0136,0.26,3400,46.6,0.0258,0
30,Canada,0.0191,0.0022,0.524,44200,31.1,0.0142,1
31,Cape Verde,0.0056,0.0448,0.433,6910,47.2,0.0113,0
32,Central African Republic,0.0241,0.0126,0.288,794,56.2,0.0167,0
33,Chad,0.0286,0.0021,0.406,1740,43.3,0.0299,0
34,Chile,0.0267,-0.0013,0.493,23000,47.7,0.0118,0
35,China,0.0158,0.0573,0.319,17100,39.1,0.0036,0
36,Colombia,0.0429,0.019,0.285,13600,50.8,0.0138,0
37,Comoros,0.0333,0.0047,0.231,2480,45.3,0.0221,0
38,"Congo, Dem. Rep.",-0.017,0.0111,0.275,838,42.1,0.0319,0
39,"Congo, Rep.",-0.0124,-0.0341,0.956,5100,48.9,0.0256,0
40,Costa Rica,0.0172,0.0111,0.452,15800,48.7,0.0096,0
41,Cote d'Ivoire,0.0055,0.0416,0.395,3910,41.5,0.0255,0
42,Croatia,0.0149,0.0345,0.752,24500,31.1,-0.005,0
43,Cyprus,0.0056,0.0186,0.514,34500,34,0.0078,1
44,Czech Republic,0.0352,0.0218,NA,34100,25.9,0.0037,1
45,Denmark,0.0097,0.0193,0.598,48300,28.2,0.0043,1
